Package Name,Class Name,Method Name,Parameter Types,Cyclomatic Complexity
org.apache.commons.cli.help,Builder,asThis,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,testCreateURL,"No parameters",1
org.apache.commons.cli,HelpFormatter,setLongOptSeparator,"String",1
org.apache.commons.cli,CommandLineTest,testHasOptionNoDeprecationHandler,"String[], Option, OptionGroup, boolean, boolean, boolean, boolean, Option",1
org.apache.commons.cli,Options,addOptionGroup,"OptionGroup",3
org.apache.commons.cli,Options,addOptions,"Options",3
org.apache.commons.cli,HelpFormatterTest,testRenderWrappedTextWordCut,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testRenderWrappedTextMultiLine,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testOptionalArgsOptionDotBuilder,"No parameters",1
org.apache.commons.cli,ValueTest,testShortOptionalArgValuesWithOption,"CommandLineParser",1
org.apache.commons.cli,Option,processValue,"String",5
org.apache.commons.cli,AlreadySelectedExceptionTest,testConstructor,"No parameters",1
org.apache.commons.cli,OptionBuilderTest,testBaseOptionCharOpt,"No parameters",1
org.apache.commons.cli,CommandLineTest,testGetParsedOptionValue,"String[], Option, OptionGroup, boolean, Integer, boolean, Integer, Option",1
org.apache.commons.cli,ApplicationTest,testLs,"No parameters",1
org.apache.commons.cli.example,AptHelpAppendableTest,testAppendFormatTest,"No parameters",1
org.apache.commons.cli,DefaultParser,indexOfEqual,"String",1
org.apache.commons.cli,CommandLine,iterator,"No parameters",1
org.apache.commons.cli.help,TextStyle,isScalable,"No parameters",1
org.apache.commons.cli,OptionTest,testHasArgName,"No parameters",1
org.apache.commons.cli,OptionValidatorTest,testValidate,"String, boolean, String",2
org.apache.commons.cli.help,UtilTest,testIsEmpty,"No parameters",1
org.apache.commons.cli,Option,setArgs,"int",1
org.apache.commons.cli.help,TextHelpAppendable,setIndent,"int",1
org.apache.commons.cli,Options,hasLongOption,"String",1
org.apache.commons.cli.help,Builder,setOptionGroupSeparator,"String",1
org.apache.commons.cli.bug,BugCLI312Test,testPropertyStyleOption_withGetOptionProperties,"No parameters",1
org.apache.commons.cli,BasicParserTest,testLongWithoutEqualSingleDash,"No parameters",1
org.apache.commons.cli,Options,helpOptions,"No parameters",1
org.apache.commons.cli,CommandLineTest,createOptionValuesParameters,"No parameters",1
org.apache.commons.cli.help,HelpFormatterTest,testSyntaxPrefix,"No parameters",1
org.apache.commons.cli.example,AptHelpAppendableTest,testAppendParagraphTest,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendableTest,testPrintWrapped,"No parameters",1
org.apache.commons.cli,CommandLine,getArgs,"No parameters",1
org.apache.commons.cli,DeprecatedAttributes,toEmpty,"String",1
org.apache.commons.cli,DeprecatedAttributesTest,testDefaultToString,"No parameters",1
org.apache.commons.cli.help,OptionFormatterTest,testGetBothOpt,"No parameters",1
org.apache.commons.cli,OptionGroupTest,testSingleOptionFromGroup,"No parameters",1
org.apache.commons.cli,PatternOptionBuilderTest,testSimplePattern,"No parameters",1
org.apache.commons.cli.bug,BugsTest,test13666_Builder,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendable,appendTable,"TableDefinition",3
org.apache.commons.cli.help,Builder,setHelpAppendable,"HelpAppendable",1
